Name,Age,Net_Worth,Income Source,Citizenship
Vonnarat Tangkaravakoon ,50.0,$1.7 B,Manufacturing ,Thailand
Vijay Shekhar Sharma,44,$1.1B,"financial technology, Self Made",India
Yuan Fugen & family ,71.0,$1.9 B,Manufacturing ,China
Regine Leibinger ,59.0,$1.8 B,Manufacturing ,Germany
J. Tomilson Hill ,73.0,$2.8 B,Finance & Investments ,United States
Martin Moller Nielsen ,57.0,$1.3 B,Logistics ,Denmark
P.P. Reddy ,64.0,$1.3 B,Construction & Engineering ,India
Thomas Bruch ,71.0,$1.4 B,Fashion & Retail ,Germany
Ann Walton Kroenke ,73.0,$9 B,Fashion & Retail ,United States
Kristo Käärmann ,41.0,$1.2 B,Finance & Investments ,Estonia
Peter Kellogg ,79.0,$3.6 B,Finance & Investments ,United States
Patrick Zalupski ,41.0,$1.3 B,Real Estate ,United States
"Thomas Frist, Jr. & family ",83.0,$21.8 B,Healthcare ,United States
Morris Kahn ,92.0,$1 B,Technology ,Israel
Peter Gassner ,57.0,$3.1 B,Technology ,United States
N. Murray Edwards ,62.0,$2.9 B,Energy ,Canada
Laurence Graff & family ,83.0,$3.4 B,Fashion & Retail ,United Kingdom
Hasmukh Chudgar & family ,88.0,$6.8 B,Healthcare ,India
Bill Alfond ,73.0,$2.8 B,Fashion & Retail ,United States
William Lei Ding ,50.0,$25.2 B,Technology ,China
Edwin Leong ,70.0,$4.4 B,Real Estate ,Hong Kong
Gang Xu ,58.0,$1.3 B,Manufacturing ,China
Fredrik Österberg ,51.0,$1.4 B,Gambling & Casinos ,Sweden
Xuande Hua & family ,78.0,$3.3 B,Healthcare ,China
Chu Jian ,59.0,$1.3 B,Manufacturing ,China
Lin Chang Su-O ,81.0,$2.2 B,Real Estate ,Taiwan
Basudeo Singh ,81.0,$1.7 B,Healthcare ,India
Michael Price ,69.0,$1.2 B,Finance & Investments ,United States
Cliff Obrecht ,36.0,$6.5 B,Technology ,Australia
Robin Zeng ,53.0,$44.8 B,Automotive ,Hong Kong
Simona Giorgetta ,44.0,$1.3 B,Construction & Engineering ,Italy
John Fisher ,60.0,$2.4 B,Fashion & Retail ,United States
Dieter Schnabel ,76.0,$1.7 B,Manufacturing ,Germany
Mary Alice Dorrance Malone ,72.0,$3.5 B,Food & Beverage ,United States
Peter Thiel ,54.0,$5 B,Finance & Investments ,United States
Yoichi & Keiko Erikawa ,,$2.5 B,Media & Entertainment ,Japan
Vladimir Yevtushenkov ,73.0,$1.7 B,Telecom ,Russia
Koo Kwang-mo ,44.0,$1.7 B,Diversified ,South Korea
Jeffrey Michael & family ,65.0,$1.1 B,Technology ,United States
Sami Mnaymneh ,60.0,$4.6 B,Finance & Investments ,United States
Weijie Sun ,58.0,$1.7 B,Manufacturing ,China
"B. Wayne Hughes, Jr. ",61.0,$2.2 B,Real Estate ,United States
Lachhman Das Mittal,91,$2.3B,tractors,India
Weimin Du ,58.0,$2.2 B,Healthcare ,China
Chung Mong-Koo ,84.0,$4.2 B,Automotive ,South Korea
Chen Huwen ,51.0,$2.1 B,Manufacturing ,China
Oprah Winfrey ,68.0,$2.6 B,Media & Entertainment ,United States
John Elkann ,46.0,$2.1 B,Finance & Investments ,Italy
Ginia Rinehart ,35.0,$2.2 B,Metals & Mining ,Australia
Wang Zhenhua ,60.0,$3.5 B,Real Estate ,China
Julia Thiele-Schuerhoff ,50.0,$3.6 B,Manufacturing ,Germany
Jupally Rameshwar Rao ,66.0,$1 B,Real Estate ,India
Franziska Wuerbser ,34.0,$1.1 B,Manufacturing ,Germany
Michael Saylor ,57.0,$1.6 B,Technology ,United States
Anil Agarwal,69,$1.9B,"mining, metals, Self Made",India
Richard Fortin ,73.0,$1.3 B,Fashion & Retail ,Canada
Lorinc Meszaros ,56.0,$1.2 B,Diversified ,Hungary
Aloke Lohia ,63.0,$2.5 B,Manufacturing ,India
Francisco Jose Riberas Mera ,57.0,$1 B,Manufacturing ,Spain
Robert & Philip Ng ,,$13.7 B,Real Estate ,Singapore
Vinod & Anil Rai Gupta ,,$3.8 B,Manufacturing ,India
Zhang Jian ,53.0,$1.6 B,Manufacturing ,China
Xie Juhua & family ,71.0,$3 B,Healthcare ,China
Bui Thanh Nhon ,64.0,$2.9 B,Real Estate ,Vietnam
Orion Hindawi ,42.0,$2 B,Technology ,United States
Hortensia Herrero ,71.0,$2.2 B,Fashion & Retail ,Spain
Francine von Finck & family ,,$8.4 B,Finance & Investments ,Germany
Daniel Ziff ,50.0,$5 B,Finance & Investments ,United States
John Tyson ,68.0,$3 B,Food & Beverage ,United States
Jim Pattison ,93.0,$12.2 B,Diversified ,Canada
Wu Zhenxing ,52.0,$1.1 B,Food & Beverage ,China
Frank Laukien ,62.0,$2.3 B,Manufacturing ,United States
Brian Higgins ,57.0,$1.8 B,Finance & Investments ,United States
Christopher Kwok ,36.0,$1.5 B,Real Estate ,Hong Kong
Jeffrey Cheah ,77.0,$1.3 B,Real Estate ,Malaysia
Mark Cuban ,63.0,$4.7 B,Media & Entertainment ,United States
Law Kar Po ,73.0,$6.6 B,Real Estate ,Hong Kong
Jared Isaacman ,39.0,$1.6 B,Technology ,United States
Gayle Benson ,75.0,$3.8 B,Sports ,United States
Matei Zaharia ,36.0,$1.6 B,Technology ,Romania
Ma Huateng ,50.0,$37.2 B,Technology ,China
John Pritzker ,68.0,$2.7 B,Finance & Investments ,United States
Amit Burman ,52.0,$1.6 B,Food & Beverage ,India
Heikki Herlin ,35.0,$1.2 B,Manufacturing ,Finland
Lam Kong ,57.0,$2.4 B,Healthcare ,China
Antonio Luiz Seabra ,79.0,$1.5 B,Fashion & Retail ,Brazil
Cameron Adams ,42.0,$3.2 B,Technology ,Australia
Zong Yanmin ,,$1.3 B,Manufacturing ,China
Fang Xiaoliang & family ,63.0,$2.1 B,Healthcare ,China
Vagit Alekperov ,71.0,$10.5 B,Energy ,Russia
John Henry ,72.0,$3.6 B,Sports ,United States
Lu Zhongfang ,79.0,$2.6 B,Automotive ,China
Pierre Karl Péladeau ,60.0,$1.8 B,Media & Entertainment ,Canada
Zhuang Kuilong & family ,59.0,$1 B,Manufacturing ,China
Alexander Ponomarenko ,57.0,$1.9 B,Logistics ,Russia
Alain Taravella ,74.0,$1.9 B,Real Estate ,France
S. Daniel Abraham ,97.0,$2 B,Food & Beverage ,United States
Junjin Wang ,53.0,$1.5 B,Service ,China
Hans Peter Wild ,80.0,$3.5 B,Food & Beverage ,Switzerland
Devin Finzer ,31.0,$2.2 B,Technology ,United States
Joe Lewis ,85.0,$5.4 B,Finance & Investments ,United Kingdom
Bob Ell ,77.0,$2.1 B,Real Estate ,Australia
Shu Ping ,52.0,$1.4 B,Food & Beverage ,Singapore
Bruce Flatt ,56.0,$4.6 B,Finance & Investments ,Canada
Stefano Pessina ,80.0,$10.3 B,Fashion & Retail ,Monaco
Justin Yuan ,,$1.5 B,Media & Entertainment ,China
Yang Tingdong ,61.0,$1.6 B,Food & Beverage ,China
Susanne Klatten ,59.0,$24.3 B,Automotive ,Germany
Vlad Yatsenko ,38.0,$1.1 B,Finance & Investments ,Ukraine
Leena Tewari ,64.0,$3.8 B,Healthcare ,India
Kim Hyoung-nyon ,46.0,$1.9 B,Finance & Investments ,South Korea
Aydin Dogan ,85.0,$1.1 B,Media & Entertainment ,Turkey
"Drayton McLane, Jr. ",85.0,$2.9 B,Fashion & Retail ,United States
Sergei Galitsky ,54.0,$3.2 B,Fashion & Retail ,Russia
Sukanto Tanoto ,72.0,$2.1 B,Diversified ,Indonesia
Alexandra Daitch ,59.0,$2.4 B,Food & Beverage ,United States
Hongjing Li ,54.0,$1.2 B,Automotive ,China
Mohammed Ibrahim ,75.0,$1.2 B,Telecom ,United Kingdom
Aloys Wobben ,70.0,$5.8 B,Energy ,Germany
"Girdhari Lal Bawri, Rajendra Agarwal and Banwari Lal Bawri","pharmaceuticals, Self Made",$6.5B,"Mumbai, India",
Igor Rybakov ,49.0,$1.1 B,Manufacturing ,Russia
Michael Rees ,47.0,$1 B,Finance & Investments ,United States
Zhou Zongwen & family ,65.0,$1.7 B,Fashion & Retail ,China
Jay Chaudhry ,62.0,$11.4 B,Technology ,United States
Rupert Murdoch & family ,91.0,$20.8 B,Media & Entertainment ,United States
Alfredo Egydio Arruda Villela Filho ,52.0,$1.8 B,Finance & Investments ,Brazil
Ravi Jaipuria ,67.0,$5.2 B,Food & Beverage ,India
